agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Only House Elevation,True,False,False,0.22,0.37
Agent_10,1,Only Flood Insurance,False,True,False,0.22,0.45999999999999996
Agent_100,1,Only Flood Insurance,False,True,False,0.24,0.47
Agent_11,1,Only Flood Insurance,False,True,False,0.26,0.52
Agent_12,1,Do Nothing,False,False,False,0.26999999999999996,0.35
Agent_13,1,Only Flood Insurance,False,True,False,0.25,0.43
Agent_14,1,Only Flood Insurance,False,True,False,0.31,0.49
Agent_15,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.48
Agent_16,1,Do Nothing,False,False,False,0.31,0.45
Agent_17,1,Do Nothing,False,False,False,0.26999999999999996,0.51
Agent_18,1,Do Nothing,False,False,False,0.21000000000000002,0.41
Agent_19,1,Only Flood Insurance,False,True,False,0.49,0.35
Agent_2,1,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_20,1,Do Nothing,False,False,False,0.35,0.38
Agent_21,1,Only House Elevation,True,False,False,0.42,0.37
Agent_22,1,Do Nothing,False,False,False,0.47,0.47
Agent_23,1,Do Nothing,False,False,False,0.24000000000000002,0.53
Agent_24,1,Do Nothing,False,False,False,0.45999999999999996,0.49
Agent_25,1,Only Flood Insurance,False,True,False,0.25,0.45999999999999996
Agent_26,1,Only Flood Insurance,False,True,False,0.30000000000000004,0.33999999999999997
Agent_27,1,Do Nothing,False,False,False,0.32,0.37
Agent_28,1,Only Flood Insurance,False,True,False,0.35000000000000003,0.52
Agent_29,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.41
Agent_3,1,Do Nothing,False,False,False,0.44,0.37
Agent_30,1,Do Nothing,False,False,False,0.22,0.44
Agent_31,1,Only Flood Insurance,False,True,False,0.32,0.37
Agent_32,1,Only Flood Insurance,False,True,False,0.35000000000000003,0.39
Agent_33,1,Do Nothing,False,False,False,0.44,0.54
Agent_34,1,Only Flood Insurance,False,True,False,0.41000000000000003,0.52
Agent_35,1,Do Nothing,False,False,False,0.25,0.45
Agent_36,1,Only Flood Insurance,False,True,False,0.52,0.35
Agent_37,1,Do Nothing,False,False,False,0.44,0.5
Agent_38,1,Only Flood Insurance,False,True,False,0.43,0.39999999999999997
Agent_39,1,Do Nothing,False,False,False,0.42,0.43
Agent_4,1,Do Nothing,False,False,False,0.25,0.37
Agent_40,1,Do Nothing,False,False,False,0.25,0.51
Agent_41,1,Do Nothing,False,False,False,0.47,0.33999999999999997
Agent_42,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_43,1,Only Flood Insurance,False,True,False,0.36000000000000004,0.43
Agent_44,1,Do Nothing,False,False,False,0.42,0.39
Agent_45,1,Do Nothing,False,False,False,0.41,0.43
Agent_46,1,Do Nothing,False,False,False,0.43,0.43
Agent_47,1,Only Flood Insurance,False,True,False,0.38,0.35
Agent_48,1,Only Flood Insurance,False,True,False,0.5,0.39
Agent_49,1,Do Nothing,False,False,False,0.44999999999999996,0.54
Agent_5,1,Only Flood Insurance,False,True,False,0.25,0.33999999999999997
Agent_50,1,Do Nothing,False,False,False,0.42,0.43
Agent_51,1,Do Nothing,False,False,False,0.44,0.45999999999999996
Agent_52,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.36
Agent_53,1,Only House Elevation,True,False,False,0.26999999999999996,0.42
Agent_54,1,Do Nothing,False,False,False,0.45999999999999996,0.41
Agent_55,1,Do Nothing,False,False,False,0.38999999999999996,0.45999999999999996
Agent_56,1,Only Flood Insurance,False,True,False,0.49,0.37
Agent_57,1,Do Nothing,False,False,False,0.47,0.39999999999999997
Agent_58,1,Do Nothing,False,False,False,0.41,0.48
